1999,All causes,4782798,,
1999,Alzheimer's disease,89072,,
1999,CLRD,248362,,
1999,Cancer,1099676,,
1999,Diabetes,136798,,
1999,Heart disease,1450384,,
1999,Influenza and pneumonia,127460,,
1999,Kidney disease,71050,,
1999,Stroke,334732,,
1999,Suicide,58398,,
1999,Unintentional injuries,195720,,
2000,All causes,4806702,,
2000,Alzheimer's disease,99116,,
2000,CLRD,244018,,
2000,Cancer,1106182,,
2000,Diabetes,138602,,
2000,Heart disease,1421520,,
2000,Influenza and pneumonia,130626,,
2000,Kidney disease,74502,,
2000,Stroke,335322,,
2000,Suicide,58700,,
2000,Unintentional injuries,195800,,
2001,All causes,4832850,,
2001,Alzheimer's disease,107704,,
2001,CLRD,246026,,
2001,Cancer,1107536,,
2001,Diabetes,142744,,
2001,Heart disease,1400284,,
2001,Influenza and pneumonia,124068,,
2001,Kidney disease,78960,,
2001,Stroke,327076,,
2001,Suicide,61244,,
2001,Unintentional injuries,203074,,
2002,All causes,4886774,,
2002,Alzheimer's disease,117732,,
2002,CLRD,249632,,
2002,Cancer,1114542,,
2002,Diabetes,146498,,
2002,Heart disease,1393894,,
2002,Influenza and pneumonia,131362,,
2002,Kidney disease,81948,,
2002,Stroke,325344,,
2002,Suicide,63310,,
2002,Unintentional injuries,213484,,
2003,All causes,4896576,,
2003,Alzheimer's disease,126914,,
2003,CLRD,252764,,
2003,Cancer,1113804,,
2003,Diabetes,148438,,
2003,Heart disease,1370178,,
2003,Influenza and pneumonia,130326,,
2003,Kidney disease,84906,,
2003,Stroke,315378,,
2003,Suicide,62968,,
2003,Unintentional injuries,218554,,
2004,All causes,4795230,,
2004,Alzheimer's disease,131930,,
2004,CLRD,243974,,
2004,Cancer,1107776,,
2004,Diabetes,146276,,
2004,Heart disease,1304972,,
2004,Influenza and pneumonia,119328,,
2004,Kidney disease,84960,,
2004,Stroke,300148,,
2004,Suicide,64878,,
2004,Unintentional injuries,224024,,
2005,All causes,4896034,,
2005,Alzheimer's disease,143198,,
2005,CLRD,261866,,
2005,Cancer,1118624,,
2005,Diabetes,150238,,
2005,Heart disease,1304182,,
2005,Influenza and pneumonia,126002,,
2005,Kidney disease,87802,,
2005,Stroke,287158,,
2005,Suicide,65274,,
2005,Unintentional injuries,235618,,
2006,All causes,4852528,,
2006,Alzheimer's disease,144864,,
2006,CLRD,249166,,
2006,Cancer,1119776,,
2006,Diabetes,144898,,
2006,Heart disease,1263272,,
2006,Influenza and pneumonia,112652,,
2006,Kidney disease,90688,,
2006,Stroke,274238,,
2006,Suicide,66600,,
2006,Unintentional injuries,243198,,
2007,All causes,4847424,,
2007,Alzheimer's disease,149264,,
2007,CLRD,255848,,
2007,Cancer,1125750,,
2007,Diabetes,142764,,
2007,Heart disease,1232134,,
2007,Influenza and pneumonia,105434,,
2007,Kidney disease,92896,,
2007,Stroke,271904,,
2007,Suicide,69196,,
2007,Unintentional injuries,247412,,
2008,All causes,4943968,,
2008,Alzheimer's disease,164870,,
2008,CLRD,282180,,
2008,Cancer,1130938,,
2008,Diabetes,141106,,
2008,Heart disease,1233656,,
2008,Influenza and pneumonia,112568,,
2008,Kidney disease,96474,,
2008,Stroke,268296,,
2008,Suicide,72070,,
2008,Unintentional injuries,243804,,
2009,All causes,4874326,,
2009,Alzheimer's disease,158006,,
2009,CLRD,274706,,
2009,Cancer,1135256,,
2009,Diabetes,137410,,
2009,Heart disease,1198826,,
2009,Influenza and pneumonia,107384,,
2009,Kidney disease,97870,,
2009,Stroke,257684,,
2009,Suicide,73818,,
2009,Unintentional injuries,236042,,
2010,All causes,4936870,,
2010,Alzheimer's disease,166988,,
2010,CLRD,276160,,
2010,Cancer,1149486,,
2010,Diabetes,138142,,
2010,Heart disease,1195378,,
2010,Influenza and pneumonia,100194,,
2010,Kidney disease,100952,,
2010,Stroke,258952,,
2010,Suicide,76728,,
2010,Unintentional injuries,241718,,
2011,All causes,5030916,,
2011,Alzheimer's disease,169948,,
2011,CLRD,285886,,
2011,Cancer,1153382,,
2011,Diabetes,147662,,
2011,Heart disease,1193154,,
2011,Influenza and pneumonia,107652,,
2011,Kidney disease,91182,,
2011,Stroke,257864,,
2011,Suicide,79036,,
2011,Unintentional injuries,252876,,
2012,All causes,5086558,,
2012,Alzheimer's disease,167274,,
2012,CLRD,286978,,
2012,Cancer,1165246,,
2012,Diabetes,147864,,
2012,Heart disease,1199422,,
2012,Influenza and pneumonia,101272,,
2012,Kidney disease,91244,,
2012,Stroke,257092,,
2012,Suicide,81200,,
2012,Unintentional injuries,255584,,
2013,All causes,5193986,,half
2013,Alzheimer's disease,169534,,
2013,CLRD,298410,,
2013,Cancer,1169762,,
2013,Diabetes,151156,,
2013,Heart disease,1222210,,
2013,Influenza and pneumonia,113958,,
2013,Kidney disease,94224,,
2013,Stroke,257956,,
2013,Suicide,82298,,
2013,Unintentional injuries,261114,,
2014,All causes,5252836,,
2014,Alzheimer's disease,187082,,
2014,CLRD,294202,,
2014,Cancer,1183400,,
2014,Diabetes,152976,,
2014,Heart disease,1228696,,
2014,Influenza and pneumonia,110454,,
2014,Kidney disease,96292,,
2014,Stroke,266206,,
2014,Suicide,85652,,
2014,Unintentional injuries,271856,,
2015,All causes,5425260,,5425260
2015,Alzheimer's disease,221122,,
2015,CLRD,310082,,
2015,Cancer,1191860,,
2015,Diabetes,159070,,
2015,Heart disease,1267684,,
2015,Influenza and pneumonia,114124,,
2015,Kidney disease,99918,,
2015,Stroke,280646,,
2015,Suicide,88386,,
2015,Unintentional injuries,293142,,
2016,All causes,5063723,,2744248
2016,Alzheimer's disease,232206,,
2016,CLRD,309192,,
2016,Cancer,1196076,,
2016,Diabetes,160116,,
2016,Heart disease,1270520,,
2016,Influenza and pneumonia,103074,,
2016,Kidney disease,100092,,
2016,Stroke,284284,,
2016,Suicide,89930,,
2016,Unintentional injuries,322748,,
